elapsed_ms,cpu_util,ram_used,ram_total,gpu0_util,gpu0_vram_alloc,gpu0_vram_used,gpu0_vram_total,gpu1_util,gpu1_vram_alloc,gpu1_vram_used,gpu1_vram_total
0,0.0,4788142080,26256531456,1,23068672,1370947584,17102733312,0,0,988676096,6442319872
103,7.9,4794331136,26256531456,1,1356857344,2704736256,17102733312,0,0,988676096,6442319872
206,7.4,4794331136,26256531456,57,1551892480,2899771392,17102733312,0,0,988676096,6442319872
310,9.8,4794331136,26256531456,57,1551892480,2899771392,17102733312,0,0,988676096,6442319872
414,12.4,4794331136,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
517,7.0,4794576896,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
622,8.4,4794576896,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
726,11.0,4795092992,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
831,9.4,4795092992,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
934,11.5,4795092992,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1038,9.5,4795092992,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1142,10.8,4795092992,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1246,8.4,4795092992,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1350,10.2,4795351040,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1452,9.8,4795351040,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1555,9.1,4795351040,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1659,11.3,4795867136,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1762,13.3,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1869,9.3,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
1973,10.2,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2075,10.1,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2178,11.4,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2281,9.1,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2384,9.2,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2489,11.2,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2592,12.6,4796125184,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2698,16.2,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2807,11.4,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
2915,11.4,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3022,10.5,4796641280,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3128,11.0,4796641280,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3234,9.6,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3339,8.9,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3441,8.8,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3544,10.3,4796641280,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3650,12.2,4796641280,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3756,21.5,4802310144,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3864,12.1,4802830336,26256531456,95,1551892480,2899771392,17102733312,0,0,988676096,6442319872
3968,9.6,4802830336,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
4073,10.0,4802830336,26256531456,96,1551892480,2899771392,17102733312,0,0,988676096,6442319872
